Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Classic End Grain Board,classic-end-grain-board,"Walnut & maple checkerboard end grain, food-safe finish. 12""x18"".",MLP Made,,Cutting Board,"cutting boards,end grain",TRUE,Active,MLP-CB-001,,Title,Default Title,,,,,,,,85.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Farmhouse End Grain Board,farmhouse-end-grain-board,A larger format end grain board built for everyday prep and serving.,MLP Made,,Cutting Board,"cutting boards,end grain",TRUE,Active,MLP-CB-002,,Title,Default Title,,,,,,,,110.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Hogfish Inlay Board,hogfish-inlay-board,A hand-cut hogfish and coral scene inlaid entirely in end grain — no two are alike.,MLP Made,,Cutting Board,"cutting boards,inlay",TRUE,Active,MLP-CB-101,,Title,Default Title,,,,,,,,145.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Custom Monogram Inlay Board,custom-monogram-inlay-board,Personalized inlay end grain board with initials or a custom design.,MLP Made,,Cutting Board,"cutting boards,inlay,custom",TRUE,Active,MLP-CB-102,,Title,Default Title,,,,,,,,160.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Classic Adirondack Chair,classic-adirondack-chair,"Weather-resistant outdoor chair, finished to last for years outdoors.",MLP Made,,Furniture,"outdoor furniture,adirondack",TRUE,Active,MLP-CH-001,,Title,Default Title,,,,,,,,325.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Adirondack Chair Set (Pair),adirondack-chair-set-pair,"Two matching Adirondack chairs finished together as a set, with an optional personalized name engraved into the seat.",MLP Made,,Furniture,"outdoor furniture,adirondack",TRUE,Active,MLP-CH-002,,Title,Default Title,,,,,,,,600.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Custom Engraved PMAG,custom-engraved-pmag,Fiber laser engraving on a Magpul PMAG. Price shown is a starting price.,MLP Made,,Laser Engraving,"laser engraving,pmag,custom",TRUE,Active,MLP-LE-001,,Title,Default Title,,,,,,,,35.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Battle-Worn Graphic PMAG,battle-worn-graphic-pmag,Custom artwork/text combo laser engraved for a distressed look. Price shown is a starting price.,MLP Made,,Laser Engraving,"laser engraving,pmag,custom",TRUE,Active,MLP-LE-002,,Title,Default Title,,,,,,,,45.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Custom Handgun Slide Engraving,custom-handgun-slide-engraving,"Fiber laser engraving on a handgun slide, by appointment after a design consultation. Requires FFL transfer; customer is responsible for compliance with applicable law. Price shown is a starting price.",MLP Made,,Laser Engraving,"laser engraving,firearm,custom",FALSE,Draft,MLP-LE-101,,Title,Default Title,,,,,,,,150.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Custom CNC Sign,custom-cnc-sign,"Personalized carved wood sign for home, business, or camp. Price shown is a starting price.",MLP Made,,Sign,"signs,cnc,custom",TRUE,Active,MLP-SG-001,,Title,Default Title,,,,,,,,60.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
CNC Carved Bowl,cnc-carved-bowl,"Decorative or serving bowl, carved from your choice of wood species.",MLP Made,,Bowl,"bowls,cnc",TRUE,Active,MLP-BW-001,,Title,Default Title,,,,,,,,70.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Serving Tray,serving-tray,CNC-carved serving tray with handles.,MLP Made,,Tray,"trays,cnc",TRUE,Active,MLP-TR-001,,Title,Default Title,,,,,,,,55.00,,,TRUE,,,,,,,,,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
